2026/06/10 16:34:22.946, 59, 12.14, 0, 0, [N/A], [N/A]
2026/06/10 16:34:23.971, 58, 12.14, 0, 0, [N/A], [N/A]
2026/06/10 16:34:24.996, 58, 12.11, 0, 0, [N/A], [N/A]
2026/06/10 16:34:26.022, 58, 12.14, 0, 0, [N/A], [N/A]
2026/06/10 16:34:27.048, 57, 12.02, 0, 0, [N/A], [N/A]
2026/06/10 16:34:28.073, 57, 11.95, 0, 0, [N/A], [N/A]
2026/06/10 16:34:29.097, 57, 12.00, 0, 0, [N/A], [N/A]
2026/06/10 16:34:30.122, 57, 11.96, 0, 0, [N/A], [N/A]
2026/06/10 16:34:31.146, 56, 11.94, 0, 0, [N/A], [N/A]
2026/06/10 16:34:32.174, 56, 11.86, 0, 0, [N/A], [N/A]
2026/06/10 16:34:33.199, 56, 11.89, 0, 0, [N/A], [N/A]
2026/06/10 16:34:34.223, 56, 11.88, 0, 0, [N/A], [N/A]
2026/06/10 16:34:35.248, 55, 11.86, 0, 0, [N/A], [N/A]
2026/06/10 16:34:36.272, 55, 11.81, 0, 0, [N/A], [N/A]
2026/06/10 16:34:37.297, 55, 11.80, 0, 0, [N/A], [N/A]
2026/06/10 16:34:38.322, 55, 11.74, 0, 0, [N/A], [N/A]
2026/06/10 16:34:39.347, 55, 11.72, 0, 0, [N/A], [N/A]
2026/06/10 16:34:40.370, 54, 11.74, 0, 0, [N/A], [N/A]
2026/06/10 16:34:41.394, 54, 11.75, 0, 0, [N/A], [N/A]
2026/06/10 16:34:42.417, 54, 11.75, 0, 0, [N/A], [N/A]
2026/06/10 16:34:43.442, 54, 11.72, 0, 0, [N/A], [N/A]
2026/06/10 16:34:44.467, 54, 11.68, 0, 0, [N/A], [N/A]
2026/06/10 16:34:45.492, 53, 11.53, 0, 0, [N/A], [N/A]
2026/06/10 16:34:46.516, 53, 11.47, 0, 0, [N/A], [N/A]
2026/06/10 16:34:47.541, 53, 11.40, 0, 0, [N/A], [N/A]
2026/06/10 16:34:48.565, 53, 11.39, 0, 0, [N/A], [N/A]
2026/06/10 16:34:49.590, 53, 11.43, 0, 0, [N/A], [N/A]
2026/06/10 16:34:50.614, 52, 11.37, 0, 0, [N/A], [N/A]
2026/06/10 16:34:51.640, 52, 11.39, 0, 0, [N/A], [N/A]
2026/06/10 16:34:52.665, 52, 11.35, 0, 0, [N/A], [N/A]
2026/06/10 16:34:53.689, 52, 11.35, 0, 0, [N/A], [N/A]
2026/06/10 16:34:54.715, 52, 11.40, 0, 0, [N/A], [N/A]
2026/06/10 16:34:55.739, 52, 11.34, 0, 0, [N/A], [N/A]
2026/06/10 16:34:56.763, 52, 11.25, 0, 0, [N/A], [N/A]
2026/06/10 16:34:57.786, 51, 11.29, 0, 0, [N/A], [N/A]
2026/06/10 16:34:58.812, 51, 11.21, 0, 0, [N/A], [N/A]
2026/06/10 16:34:59.838, 51, 11.23, 0, 0, [N/A], [N/A]
2026/06/10 16:35:00.861, 51, 11.20, 0, 0, [N/A], [N/A]
2026/06/10 16:35:01.884, 51, 11.24, 0, 0, [N/A], [N/A]
2026/06/10 16:35:02.907, 51, 11.19, 0, 0, [N/A], [N/A]
2026/06/10 16:35:03.929, 51, 11.14, 0, 0, [N/A], [N/A]
2026/06/10 16:35:04.955, 51, 11.11, 0, 0, [N/A], [N/A]
2026/06/10 16:35:05.981, 51, 11.13, 0, 0, [N/A], [N/A]
2026/06/10 16:35:07.007, 50, 11.11, 0, 0, [N/A], [N/A]
2026/06/10 16:35:08.030, 50, 11.12, 0, 0, [N/A], [N/A]
2026/06/10 16:35:09.055, 50, 11.04, 0, 0, [N/A], [N/A]
2026/06/10 16:35:10.079, 50, 11.00, 0, 0, [N/A], [N/A]
2026/06/10 16:35:11.104, 50, 11.05, 0, 0, [N/A], [N/A]
2026/06/10 16:35:12.130, 50, 11.04, 0, 0, [N/A], [N/A]
2026/06/10 16:35:13.155, 50, 11.03, 0, 0, [N/A], [N/A]
2026/06/10 16:35:14.179, 50, 11.05, 0, 0, [N/A], [N/A]
2026/06/10 16:35:15.203, 50, 11.03, 0, 0, [N/A], [N/A]
2026/06/10 16:35:16.227, 50, 11.05, 0, 0, [N/A], [N/A]
2026/06/10 16:35:17.251, 49, 11.01, 0, 0, [N/A], [N/A]
2026/06/10 16:35:18.277, 49, 11.02, 0, 0, [N/A], [N/A]
2026/06/10 16:35:19.302, 49, 10.90, 0, 0, [N/A], [N/A]
2026/06/10 16:35:20.329, 49, 10.94, 0, 0, [N/A], [N/A]
2026/06/10 16:35:21.353, 49, 11.00, 0, 0, [N/A], [N/A]
2026/06/10 16:35:22.378, 49, 10.98, 0, 0, [N/A], [N/A]
2026/06/10 16:35:23.403, 49, 10.91, 0, 0, [N/A], [N/A]
2026/06/10 16:35:24.427, 49, 10.94, 0, 0, [N/A], [N/A]
2026/06/10 16:35:25.451, 49, 10.97, 0, 0, [N/A], [N/A]
2026/06/10 16:35:26.477, 49, 10.93, 0, 0, [N/A], [N/A]
2026/06/10 16:35:27.502, 49, 10.95, 0, 0, [N/A], [N/A]
2026/06/10 16:35:28.529, 49, 10.95, 0, 0, [N/A], [N/A]
2026/06/10 16:35:29.555, 48, 10.93, 0, 0, [N/A], [N/A]
2026/06/10 16:35:30.581, 48, 10.90, 0, 0, [N/A], [N/A]
2026/06/10 16:35:31.605, 48, 10.92, 0, 0, [N/A], [N/A]
2026/06/10 16:35:32.631, 48, 10.90, 0, 0, [N/A], [N/A]
2026/06/10 16:35:33.656, 48, 10.95, 0, 0, [N/A], [N/A]
2026/06/10 16:35:34.679, 48, 10.88, 0, 0, [N/A], [N/A]
2026/06/10 16:35:35.701, 48, 10.93, 0, 0, [N/A], [N/A]
2026/06/10 16:35:36.726, 48, 10.89, 0, 0, [N/A], [N/A]
2026/06/10 16:35:37.751, 48, 10.90, 0, 0, [N/A], [N/A]
2026/06/10 16:35:38.775, 48, 10.96, 0, 0, [N/A], [N/A]
2026/06/10 16:35:39.799, 48, 10.90, 0, 0, [N/A], [N/A]
2026/06/10 16:35:40.823, 48, 10.86, 0, 0, [N/A], [N/A]
2026/06/10 16:35:41.848, 48, 10.84, 0, 0, [N/A], [N/A]
